,,,,VAR ETAT SYSTEME,,,VAR STATS,
HS,TYPE EVT TRAITE, ECHEANCIER, ETAT GUICHET(0=LIBRE/1=OCCUPE),NB CLIENT DANS LA QUEUE,QUEUE,NB CLIENTS RECUS, ATTENTE GLOBALE AVANT SERVICE
506.51953,AccSrv,DepCl 511.67953 : serveur0,1,0,,89,0.0,
511.67953,DepCl,,0,0,,89,0.0,
512.1995,ArrCl,AccFA 512.1995 : serveur0  |   ArrCl 517.8795,0,0,,90,0.0,
512.1995,AccFA,AccSrv 512.1995 : serveur0,0,0,,90,0.0,
512.1995,AccSrv,DepCl 517.3595 : serveur0,1,0,,90,0.0,
517.3595,DepCl,,0,0,,90,0.0,
517.8795,ArrCl,AccFA 517.8795 : serveur0  |   ArrCl 523.5595,0,0,,91,0.0,
517.8795,AccFA,AccSrv 517.8795 : serveur0,0,0,,91,0.0,
517.8795,AccSrv,DepCl 523.0395 : serveur0,1,0,,91,0.0,
523.0395,DepCl,,0,0,,91,0.0,
523.5595,ArrCl,AccFA 523.5595 : serveur0  |   ArrCl 529.2395,0,0,,92,0.0,
523.5595,AccFA,AccSrv 523.5595 : serveur0,0,0,,92,0.0,
523.5595,AccSrv,DepCl 528.7195 : serveur0,1,0,,92,0.0,
528.7195,DepCl,,0,0,,92,0.0,
529.2395,ArrCl,AccFA 529.2395 : serveur0  |   ArrCl 534.9195,0,0,,93,0.0,
529.2395,AccFA,AccSrv 529.2395 : serveur0,0,0,,93,0.0,
529.2395,AccSrv,DepCl 534.3995 : serveur0,1,0,,93,0.0,
534.3995,DepCl,,0,0,,93,0.0,
534.9195,ArrCl,AccFA 534.9195 : serveur0  |   ArrCl 540.5995,0,0,,94,0.0,
534.9195,AccFA,AccSrv 534.9195 : serveur0,0,0,,94,0.0,
534.9195,AccSrv,DepCl 540.07947 : serveur0,1,0,,94,0.0,
540.07947,DepCl,,0,0,,94,0.0,
540.5995,ArrCl,AccFA 540.5995 : serveur0  |   ArrCl 546.2795,0,0,,95,0.0,
540.5995,AccFA,AccSrv 540.5995 : serveur0,0,0,,95,0.0,
540.5995,AccSrv,DepCl 545.75946 : serveur0,1,0,,95,0.0,
545.75946,DepCl,,0,0,,95,0.0,
546.2795,ArrCl,AccFA 546.2795 : serveur0  |   ArrCl 551.9595,0,0,,96,0.0,
546.2795,AccFA,AccSrv 546.2795 : serveur0,0,0,,96,0.0,
546.2795,AccSrv,DepCl 551.43945 : serveur0,1,0,,96,0.0,
551.43945,DepCl,,0,0,,96,0.0,
551.9595,ArrCl,AccFA 551.9595 : serveur0  |   ArrCl 557.63947,0,0,,97,0.0,
551.9595,AccFA,AccSrv 551.9595 : serveur0,0,0,,97,0.0,
551.9595,AccSrv,DepCl 557.11945 : serveur0,1,0,,97,0.0,
557.11945,DepCl,,0,0,,97,0.0,
557.63947,ArrCl,AccFA 557.63947 : serveur0  |   ArrCl 563.31946,0,0,,98,0.0,
557.63947,AccFA,AccSrv 557.63947 : serveur0,0,0,,98,0.0,
557.63947,AccSrv,DepCl 562.79944 : serveur0,1,0,,98,0.0,
562.79944,DepCl,,0,0,,98,0.0,
563.31946,ArrCl,AccFA 563.31946 : serveur0  |   ArrCl 568.99945,0,0,,99,0.0,
563.31946,AccFA,AccSrv 563.31946 : serveur0,0,0,,99,0.0,
563.31946,AccSrv,DepCl 568.47943 : serveur0,1,0,,99,0.0,
568.47943,DepCl,,0,0,,99,0.0,
568.99945,ArrCl,AccFA 568.99945 : serveur0  |   ArrCl 574.67944,0,0,,100,0.0,
568.99945,AccFA,AccSrv 568.99945 : serveur0,0,0,,100,0.0,
568.99945,AccSrv,DepCl 574.1594 : serveur0,1,0,,100,0.0,
574.1594,DepCl,,0,0,,100,0.0,
574.67944,ArrCl,AccFA 574.67944 : serveur0  |   ArrCl 580.35944,0,0,,101,0.0,
574.67944,AccFA,AccSrv 574.67944 : serveur0,0,0,,101,0.0,
574.67944,AccSrv,DepCl 579.8394 : serveur0,1,0,,101,0.0,
579.8394,DepCl,,0,0,,101,0.0,
580.35944,ArrCl,AccFA 580.35944 : serveur0  |   ArrCl 586.0394,0,0,,102,0.0,
580.35944,AccFA,AccSrv 580.35944 : serveur0,0,0,,102,0.0,
580.35944,AccSrv,DepCl 585.5194 : serveur0,1,0,,102,0.0,
585.5194,DepCl,,0,0,,102,0.0,
586.0394,ArrCl,AccFA 586.0394 : serveur0  |   ArrCl 591.7194,0,0,,103,0.0,
586.0394,AccFA,AccSrv 586.0394 : serveur0,0,0,,103,0.0,
586.0394,AccSrv,DepCl 591.1994 : serveur0,1,0,,103,0.0,
591.1994,DepCl,,0,0,,103,0.0,
591.7194,ArrCl,AccFA 591.7194 : serveur0  |   ArrCl 597.3994,0,0,,104,0.0,
591.7194,AccFA,AccSrv 591.7194 : serveur0,0,0,,104,0.0,
591.7194,AccSrv,DepCl 596.8794 : serveur0,1,0,,104,0.0,
596.8794,DepCl,,0,0,,104,0.0,
597.3994,ArrCl,AccFA 597.3994 : serveur0  |   ArrCl 603.0794,0,0,,105,0.0,
597.3994,AccFA,AccSrv 597.3994 : serveur0,0,0,,105,0.0,
597.3994,AccSrv,DepCl 602.5594 : serveur0,1,0,,105,0.0,
602.5594,DepCl,,0,0,,105,0.0,
602.5594,Fin,,,,,,,
Le temps d'attente moyen,0.0
Le temps d'attente maximal,0.0
