,,,,VAR ETAT SYSTEME,,,VAR STATS,
HS,TYPE EVT TRAITE, ECHEANCIER, ETAT GUICHET(0=LIBRE/1=OCCUPE),NB CLIENT DANS LA QUEUE,QUEUE,NB CLIENTS RECUS, ATTENTE GLOBALE AVANT SERVICE
120.28,AccSrv,DepCl 125.44 : serveur0,1,0,,21,0.0,
125.44,DepCl,,0,0,,21,0.0,
125.96,ArrCl,AccFA 125.96 : serveur0  |   ArrCl 131.64,0,0,,22,0.0,
125.96,AccFA,AccSrv 125.96 : serveur0,0,0,,22,0.0,
125.96,AccSrv,DepCl 131.12 : serveur0,1,0,,22,0.0,
131.12,DepCl,,0,0,,22,0.0,
131.64,ArrCl,AccFA 131.64 : serveur0  |   ArrCl 137.31999,0,0,,23,0.0,
131.64,AccFA,AccSrv 131.64 : serveur0,0,0,,23,0.0,
131.64,AccSrv,DepCl 136.8 : serveur0,1,0,,23,0.0,
136.8,DepCl,,0,0,,23,0.0,
137.31999,ArrCl,AccFA 137.31999 : serveur0  |   ArrCl 142.99998,0,0,,24,0.0,
137.31999,AccFA,AccSrv 137.31999 : serveur0,0,0,,24,0.0,
137.31999,AccSrv,DepCl 142.48 : serveur0,1,0,,24,0.0,
142.48,DepCl,,0,0,,24,0.0,
142.99998,ArrCl,AccFA 142.99998 : serveur0  |   ArrCl 148.67998,0,0,,25,0.0,
142.99998,AccFA,AccSrv 142.99998 : serveur0,0,0,,25,0.0,
142.99998,AccSrv,DepCl 148.15999 : serveur0,1,0,,25,0.0,
148.15999,DepCl,,0,0,,25,0.0,
148.67998,ArrCl,AccFA 148.67998 : serveur0  |   ArrCl 154.35997,0,0,,26,0.0,
148.67998,AccFA,AccSrv 148.67998 : serveur0,0,0,,26,0.0,
148.67998,AccSrv,DepCl 153.83998 : serveur0,1,0,,26,0.0,
153.83998,DepCl,,0,0,,26,0.0,
154.35997,ArrCl,AccFA 154.35997 : serveur0  |   ArrCl 160.03996,0,0,,27,0.0,
154.35997,AccFA,AccSrv 154.35997 : serveur0,0,0,,27,0.0,
154.35997,AccSrv,DepCl 159.51997 : serveur0,1,0,,27,0.0,
159.51997,DepCl,,0,0,,27,0.0,
160.03996,ArrCl,AccFA 160.03996 : serveur0  |   ArrCl 165.71996,0,0,,28,0.0,
160.03996,AccFA,AccSrv 160.03996 : serveur0,0,0,,28,0.0,
160.03996,AccSrv,DepCl 165.19997 : serveur0,1,0,,28,0.0,
165.19997,DepCl,,0,0,,28,0.0,
165.71996,ArrCl,AccFA 165.71996 : serveur0  |   ArrCl 171.39995,0,0,,29,0.0,
165.71996,AccFA,AccSrv 165.71996 : serveur0,0,0,,29,0.0,
165.71996,AccSrv,DepCl 170.87996 : serveur0,1,0,,29,0.0,
170.87996,DepCl,,0,0,,29,0.0,
171.39995,ArrCl,AccFA 171.39995 : serveur0  |   ArrCl 177.07994,0,0,,30,0.0,
171.39995,AccFA,AccSrv 171.39995 : serveur0,0,0,,30,0.0,
171.39995,AccSrv,DepCl 176.55995 : serveur0,1,0,,30,0.0,
176.55995,DepCl,,0,0,,30,0.0,
177.07994,ArrCl,AccFA 177.07994 : serveur0  |   ArrCl 182.75993,0,0,,31,0.0,
177.07994,AccFA,AccSrv 177.07994 : serveur0,0,0,,31,0.0,
177.07994,AccSrv,DepCl 182.23994 : serveur0,1,0,,31,0.0,
182.23994,DepCl,,0,0,,31,0.0,
182.75993,ArrCl,AccFA 182.75993 : serveur0  |   ArrCl 188.43993,0,0,,32,0.0,
182.75993,AccFA,AccSrv 182.75993 : serveur0,0,0,,32,0.0,
182.75993,AccSrv,DepCl 187.91994 : serveur0,1,0,,32,0.0,
187.91994,DepCl,,0,0,,32,0.0,
188.43993,ArrCl,AccFA 188.43993 : serveur0  |   ArrCl 194.11992,0,0,,33,0.0,
188.43993,AccFA,AccSrv 188.43993 : serveur0,0,0,,33,0.0,
188.43993,AccSrv,DepCl 193.59993 : serveur0,1,0,,33,0.0,
193.59993,DepCl,,0,0,,33,0.0,
194.11992,ArrCl,AccFA 194.11992 : serveur0  |   ArrCl 199.79991,0,0,,34,0.0,
194.11992,AccFA,AccSrv 194.11992 : serveur0,0,0,,34,0.0,
194.11992,AccSrv,DepCl 199.27992 : serveur0,1,0,,34,0.0,
199.27992,DepCl,,0,0,,34,0.0,
199.79991,ArrCl,AccFA 199.79991 : serveur0  |   ArrCl 205.4799,0,0,,35,0.0,
199.79991,AccFA,AccSrv 199.79991 : serveur0,0,0,,35,0.0,
199.79991,AccSrv,DepCl 204.95992 : serveur0,1,0,,35,0.0,
204.95992,DepCl,,0,0,,35,0.0,
205.4799,ArrCl,AccFA 205.4799 : serveur0  |   ArrCl 211.1599,0,0,,36,0.0,
205.4799,AccFA,AccSrv 205.4799 : serveur0,0,0,,36,0.0,
205.4799,AccSrv,DepCl 210.63991 : serveur0,1,0,,36,0.0,
210.63991,DepCl,,0,0,,36,0.0,
211.1599,ArrCl,AccFA 211.1599 : serveur0  |   ArrCl 216.83989,0,0,,37,0.0,
211.1599,AccFA,AccSrv 211.1599 : serveur0,0,0,,37,0.0,
211.1599,AccSrv,DepCl 216.3199 : serveur0,1,0,,37,0.0,
216.3199,DepCl,,0,0,,37,0.0,
216.83989,ArrCl,AccFA 216.83989 : serveur0  |   ArrCl 222.51988,0,0,,38,0.0,
216.83989,AccFA,AccSrv 216.83989 : serveur0,0,0,,38,0.0,
216.83989,AccSrv,DepCl 221.9999 : serveur0,1,0,,38,0.0,
221.9999,DepCl,,0,0,,38,0.0,
222.51988,ArrCl,AccFA 222.51988 : serveur0  |   ArrCl 228.19987,0,0,,39,0.0,
222.51988,AccFA,AccSrv 222.51988 : serveur0,0,0,,39,0.0,
222.51988,AccSrv,DepCl 227.67989 : serveur0,1,0,,39,0.0,
227.67989,DepCl,,0,0,,39,0.0,
228.19987,ArrCl,AccFA 228.19987 : serveur0  |   ArrCl 233.87987,0,0,,40,0.0,
228.19987,AccFA,AccSrv 228.19987 : serveur0,0,0,,40,0.0,
228.19987,AccSrv,DepCl 233.35988 : serveur0,1,0,,40,0.0,
233.35988,DepCl,,0,0,,40,0.0,
233.87987,ArrCl,AccFA 233.87987 : serveur0  |   ArrCl 239.55986,0,0,,41,0.0,
233.87987,AccFA,AccSrv 233.87987 : serveur0,0,0,,41,0.0,
233.87987,AccSrv,DepCl 239.03987 : serveur0,1,0,,41,0.0,
239.03987,DepCl,,0,0,,41,0.0,
239.55986,ArrCl,AccFA 239.55986 : serveur0  |   ArrCl 245.23985,0,0,,42,0.0,
239.55986,AccFA,AccSrv 239.55986 : serveur0,0,0,,42,0.0,
239.55986,AccSrv,DepCl 244.71986 : serveur0,1,0,,42,0.0,
244.71986,DepCl,,0,0,,42,0.0,
245.23985,ArrCl,AccFA 245.23985 : serveur0  |   ArrCl 250.91985,0,0,,43,0.0,
245.23985,AccFA,AccSrv 245.23985 : serveur0,0,0,,43,0.0,
245.23985,AccSrv,DepCl 250.39986 : serveur0,1,0,,43,0.0,
250.39986,DepCl,,0,0,,43,0.0,
250.91985,ArrCl,AccFA 250.91985 : serveur0  |   ArrCl 256.59985,0,0,,44,0.0,
250.91985,AccFA,AccSrv 250.91985 : serveur0,0,0,,44,0.0,
250.91985,AccSrv,DepCl 256.07983 : serveur0,1,0,,44,0.0,
256.07983,DepCl,,0,0,,44,0.0,
256.59985,ArrCl,AccFA 256.59985 : serveur0  |   ArrCl 262.27985,0,0,,45,0.0,
256.59985,AccFA,AccSrv 256.59985 : serveur0,0,0,,45,0.0,
256.59985,AccSrv,DepCl 261.75986 : serveur0,1,0,,45,0.0,
261.75986,DepCl,,0,0,,45,0.0,
262.27985,ArrCl,AccFA 262.27985 : serveur0  |   ArrCl 267.95984,0,0,,46,0.0,
262.27985,AccFA,AccSrv 262.27985 : serveur0,0,0,,46,0.0,
262.27985,AccSrv,DepCl 267.43985 : serveur0,1,0,,46,0.0,
267.43985,DepCl,,0,0,,46,0.0,
267.95984,ArrCl,AccFA 267.95984 : serveur0  |   ArrCl 273.63983,0,0,,47,0.0,
267.95984,AccFA,AccSrv 267.95984 : serveur0,0,0,,47,0.0,
267.95984,AccSrv,DepCl 273.11984 : serveur0,1,0,,47,0.0,
273.11984,DepCl,,0,0,,47,0.0,
273.63983,ArrCl,AccFA 273.63983 : serveur0  |   ArrCl 279.31982,0,0,,48,0.0,
273.63983,AccFA,AccSrv 273.63983 : serveur0,0,0,,48,0.0,
273.63983,AccSrv,DepCl 278.79984 : serveur0,1,0,,48,0.0,
278.79984,DepCl,,0,0,,48,0.0,
279.31982,ArrCl,AccFA 279.31982 : serveur0  |   ArrCl 284.99982,0,0,,49,0.0,
279.31982,AccFA,AccSrv 279.31982 : serveur0,0,0,,49,0.0,
279.31982,AccSrv,DepCl 284.47983 : serveur0,1,0,,49,0.0,
284.47983,DepCl,,0,0,,49,0.0,
284.99982,ArrCl,AccFA 284.99982 : serveur0  |   ArrCl 290.6798,0,0,,50,0.0,
284.99982,AccFA,AccSrv 284.99982 : serveur0,0,0,,50,0.0,
284.99982,AccSrv,DepCl 290.15982 : serveur0,1,0,,50,0.0,
290.15982,DepCl,,0,0,,50,0.0,
290.6798,ArrCl,AccFA 290.6798 : serveur0  |   ArrCl 296.3598,0,0,,51,0.0,
290.6798,AccFA,AccSrv 290.6798 : serveur0,0,0,,51,0.0,
290.6798,AccSrv,DepCl 295.8398 : serveur0,1,0,,51,0.0,
295.8398,DepCl,,0,0,,51,0.0,
296.3598,ArrCl,AccFA 296.3598 : serveur0  |   ArrCl 302.0398,0,0,,52,0.0,
296.3598,AccFA,AccSrv 296.3598 : serveur0,0,0,,52,0.0,
296.3598,AccSrv,DepCl 301.5198 : serveur0,1,0,,52,0.0,
301.5198,DepCl,,0,0,,52,0.0,
302.0398,ArrCl,AccFA 302.0398 : serveur0  |   ArrCl 307.7198,0,0,,53,0.0,
302.0398,AccFA,AccSrv 302.0398 : serveur0,0,0,,53,0.0,
302.0398,AccSrv,DepCl 307.1998 : serveur0,1,0,,53,0.0,
307.1998,DepCl,,0,0,,53,0.0,
307.7198,ArrCl,AccFA 307.7198 : serveur0  |   ArrCl 313.39978,0,0,,54,0.0,
307.7198,AccFA,AccSrv 307.7198 : serveur0,0,0,,54,0.0,
307.7198,AccSrv,DepCl 312.8798 : serveur0,1,0,,54,0.0,
312.8798,DepCl,,0,0,,54,0.0,
